SET_ID,セット構成名称,大分類,中分類,小分類
23000105,ミャオ_2種(かつおサーモン8+チキン8),ミャオグルメ,冷凍,通販共通
23000106,ミャオ_2種(かつおサーモン8+チキンサーモン8),ミャオグルメ,冷凍,通販共通
23000107,ミャオ_2種(チキンサーモン8+チキン8),ミャオグルメ,冷凍,通販共通
23000108,ミャオ_1種(まぐろサーモン16),ミャオグルメ,冷凍,通販共通
23000109,ミャオ_1種(かつおサーモン16),ミャオグルメ,冷凍,通販共通
23000110,ミャオ_1種(チキンサーモン16),ミャオグルメ,冷凍,通販共通
23000111,ミャオ_1種(チキン16),ミャオグルメ,冷凍,通販共通
23000112,【お試し】ミャオレトルト_4種(まぐろサーモン1+かつおサーモン1+チキンサーモン1+チキン1),ミャオレトルト,レトルト,お試し
23000113,【お試し】ミャオレトルト_1種(まぐろサーモン4),ミャオレトルト,レトルト,お試し
23000114,【お試し】ミャオレトルト_1種(かつおサーモン4),ミャオレトルト,レトルト,お試し
23000115,【お試し】ミャオレトルト_1種(チキンサーモン4),ミャオレトルト,レトルト,お試し
23000116,【お試し】ミャオレトルト_1種(チキン4),ミャオレトルト,レトルト,お試し
23000117,ミャオレトルト_4種(まぐろサーモン4+かつおサーモン4+チキンサーモン4+チキン4),ミャオレトルト,レトルト,通販共通
23000118,ミャオレトルト_3種(まぐろサーモン6+かつおサーモン5+チキン5),ミャオレトルト,レトルト,通販共通
23000119,ミャオレトルト_3種(まぐろサーモン6+かつおサーモン5+チキンサーモン5),ミャオレトルト,レトルト,通販共通
23000120,ミャオレトルト_3種(まぐろサーモン6+チキンサーモン5+チキン5),ミャオレトルト,レトルト,通販共通
23000121,ミャオレトルト_3種(かつおサーモン6+チキンサーモン5+チキン5),ミャオレトルト,レトルト,通販共通
23000122,ミャオレトルト_2種(まぐろサーモン8+かつおサーモン8),ミャオレトルト,レトルト,通販共通
23000123,ミャオレトルト_2種(まぐろサーモン8+チキン8),ミャオレトルト,レトルト,通販共通
23000124,ミャオレトルト_2種(まぐろサーモン8+チキンサーモン8),ミャオレトルト,レトルト,通販共通
23000125,ミャオレトルト_2種(かつおサーモン8+チキン8),ミャオレトルト,レトルト,通販共通
23000126,ミャオレトルト_2種(かつおサーモン8+チキンサーモン8),ミャオレトルト,レトルト,通販共通
23000127,ミャオレトルト_2種(チキンサーモン8+チキン8),ミャオレトルト,レトルト,通販共通
23000128,ミャオレトルト_1種(まぐろサーモン16),ミャオレトルト,レトルト,通販共通
23000129,ミャオレトルト_1種(かつおサーモン16),ミャオレトルト,レトルト,通販共通
23000130,ミャオレトルト_1種(チキンサーモン16),ミャオレトルト,レトルト,通販共通
23000131,ミャオレトルト_1種(チキン16),ミャオレトルト,レトルト,通販共通
23000132,【モール】ミャオ_4種(まぐろサーモン1+かつおサーモン1+チキンサーモン1+チキン1),ミャオグルメ,冷凍,モール
23000133,【モール】ミャオ_1種(まぐろサーモン4),ミャオグルメ,冷凍,モール
23000134,【モール】ミャオ_1種(かつおサーモン4),ミャオグルメ,冷凍,モール
23000135,【モール】ミャオ_1種(チキンサーモン4),ミャオグルメ,冷凍,モール
23000136,【モール】ミャオ_1種(チキン4),ミャオグルメ,冷凍,モール
23000137,【モール】ミャオ_4種(まぐろサーモン4+かつおサーモン4+チキンサーモン4+チキン4),ミャオグルメ,冷凍,モール
23000138,【モール】ミャオ_1種(まぐろサーモン16),ミャオグルメ,冷凍,モール
23000139,【モール】ミャオ_1種(かつおサーモン16),ミャオグルメ,冷凍,モール
23000140,【モール】ミャオ_1種(チキンサーモン16),ミャオグルメ,冷凍,モール
23000141,【モール】ミャオ_1種(チキン16),ミャオグルメ,冷凍,モール
23000142,【FBA】ミャオレトルト_4種(まぐろサーモン1+かつおサーモン1+チキンサーモン1+チキン1),ミャオレトルト,レトルト,FBA
23000143,【FBA】ミャオレトルト_1種(まぐろサーモン4),ミャオレトルト,レトルト,FBA
23000144,【FBA】ミャオレトルト_1種(かつおサーモン4),ミャオレトルト,レトルト,FBA
23000145,【FBA】ミャオレトルト_1種(チキンサーモン4),ミャオレトルト,レトルト,FBA
23000146,【FBA】ミャオレトルト_1種(チキン4),ミャオレトルト,レトルト,FBA
23000147,【FBA】ミャオレトルト_4種(まぐろサーモン4+かつおサーモン4+チキンサーモン4+チキン4),ミャオレトルト,レトルト,FBA
23000148,【FBA】ミャオレトルト_1種(まぐろサーモン16),ミャオレトルト,レトルト,FBA
23000149,【FBA】ミャオレトルト_1種(かつおサーモン16),ミャオレトルト,レトルト,FBA
23000150,【FBA】ミャオレトルト_1種(チキンサーモン16),ミャオレトルト,レトルト,FBA
23000151,【FBA】ミャオレトルト_1種(チキン16),ミャオレトルト,レトルト,FBA
23000152,【モール】ミャオレトルト_4種(まぐろサーモン1+かつおサーモン1+チキンサーモン1+チキン1),ミャオレトルト,レトルト,モール
23000153,【モール】ミャオレトルト_1種(まぐろサーモン4),ミャオレトルト,レトルト,モール
23000154,【モール】ミャオレトルト_1種(かつおサーモン4),ミャオレトルト,レトルト,モール
23000155,【モール】ミャオレトルト_1種(チキンサーモン4),ミャオレトルト,レトルト,モール
23000156,【モール】ミャオレトルト_1種(チキン4),ミャオレトルト,レトルト,モール
23000157,【モール】ミャオレトルト_4種(まぐろサーモン4+かつおサーモン4+チキンサーモン4+チキン4),ミャオレトルト,レトルト,モール
23000158,【モール】ミャオレトルト_1種(まぐろサーモン16),ミャオレトルト,レトルト,モール
23000159,【モール】ミャオレトルト_1種(かつおサーモン16),ミャオレトルト,レトルト,モール
23000160,【モール】ミャオレトルト_1種(チキンサーモン16),ミャオレトルト,レトルト,モール
23000161,【モール】ミャオレトルト_1種(チキン16),ミャオレトルト,レトルト,モール
23000162,まぐろ&タラ(うまみUP・ペースト):6袋,ミャオグルメ,冷凍,通販共通
23000163,まぐろ&タラ(うまみUP・粒):6袋,ミャオグルメ,冷凍,通販共通
23000164,かつお&サーモン(ナチュラル・粒):6袋,ミャオグルメ,冷凍,通販共通
23000165,にゃっち_オリジナルおやつ缶,販促品,ノベルティ,グッズ
23000166,とりささみ(うまみUP・粒):6袋,ミャオグルメ,冷凍,通販共通
23000167,ささみ&まぐろ(うまみUP・粒):6袋,ミャオグルメ,冷凍,通販共通
23000168,とりささみ(ナチュラル・粒):6袋,ミャオグルメ,冷凍,通販共通
23000169,まぐろ＆タラNatural粒:6袋,ミャオグルメ,冷凍,通販共通
23000170,かつお&サーモン(うまみUP・粒):6袋,ミャオグルメ,冷凍,通販共通
51000046,レトルト_チキン100g 1袋(冷凍同梱用),ココレトルト,冷凍,施策用
51000047,レトルト_ポーク100g 1袋(冷凍同梱用),ココレトルト,冷凍,施策用
51000048,レトルト_フィッシュ100g 1袋(冷凍同梱用),ココレトルト,冷凍,施策用
51000049,レトルト_ジビエ100g 1袋(冷凍同梱用),ココレトルト,冷凍,施策用
61000001,【お試し】お試しBOX(チキン1+ポーク1+フィッシュ1＋ジビエ1),ココグルメ,冷凍,お試し
61000002,【お試し】お試しBOX(チキン4袋),ココグルメ,冷凍,お試し
61000003,【お試し】お試しBOX(ポーク4袋),ココグルメ,冷凍,お試し
61000004,【お試し】お試しBOX(フィッシュ4袋),ココグルメ,冷凍,お試し
61000005,【お試し】お試しBOX(ジビエ4袋),ココグルメ,冷凍,お試し
61000006,バラエティ(チキン2+ポーク2+フィッシュ2+ジビエ2),ココグルメ,冷凍,通販共通
61000007,単品(チキン8袋),ココグルメ,冷凍,通販共通
61000008,単品(ポーク8袋),ココグルメ,冷凍,通販共通
61000009,単品(フィッシュ8袋),ココグルメ,冷凍,通販共通
61000010,単品(ジビエ8袋),ココグルメ,冷凍,通販共通
61000011,バラエティ(チキン4+ポーク4+フィッシュ4+ジビエ4),ココグルメ,冷凍,通販共通
61000012,単品(チキン16袋),ココグルメ,冷凍,通販共通
61000013,単品(ポーク16袋),ココグルメ,冷凍,通販共通
61000014,単品(フィッシュ16袋),ココグルメ,冷凍,通販共通
61000015,単品(ジビエ16袋),ココグルメ,冷凍,通販共通
61000016,バラエティ(チキン8+ポーク8),ココグルメ,冷凍,通販共通
61000017,バラエティ(チキン8+フィッシュ8),ココグルメ,冷凍,通販共通
61000018,バラエティ(チキン8+ジビエ8),ココグルメ,冷凍,通販共通
61000019,バラエティ(ポーク8+フィッシュ8),ココグルメ,冷凍,通販共通
61000020,バラエティ(ポーク8+ジビエ8),ココグルメ,冷凍,通販共通
61000021,バラエティ(フィッシュ8+ジビエ8),ココグルメ,冷凍,通販共通
61000022,バラエティ(チキン6+ポーク5+フィッシュ5),ココグルメ,冷凍,通販共通
61000023,バラエティ(チキン6+ポーク5+ジビエ5),ココグルメ,冷凍,通販共通
61000024,バラエティ(チキン6+フィッシュ5+ジビエ5),ココグルメ,冷凍,通販共通
61000025,バラエティ(ポーク6+フィッシュ5+ジビエ5),ココグルメ,冷凍,通販共通
61000026,バラエティ(チキン3+ポーク3+フィッシュ3+ジビエ3),ココグルメ,冷凍,通販共通
61000027,単品(チキン12袋),ココグルメ,冷凍,通販共通
61000028,単品(ポーク12袋),ココグルメ,冷凍,通販共通
61000029,単品(フィッシュ12袋),ココグルメ,冷凍,通販共通
61000030,単品(ジビエ12袋),ココグルメ,冷凍,通販共通
61000031,バラエティ(チキン6+ポーク6),ココグルメ,冷凍,通販共通
61000032,バラエティ(チキン6+フィッシュ6),ココグルメ,冷凍,通販共通
61000033,バラエティ(チキン6+ジビエ6),ココグルメ,冷凍,通販共通
61000034,バラエティ(ポーク6+フィッシュ6),ココグルメ,冷凍,通販共通
61000035,バラエティ(ポーク6+ジビエ6),ココグルメ,冷凍,通販共通
61000036,バラエティ(フィッシュ6+ジビエ6),ココグルメ,冷凍,通販共通
61000037,バラエティ(チキン4+ポーク4+フィッシュ4),ココグルメ,冷凍,通販共通
61000038,バラエティ(チキン4+ポーク4+ジビエ4),ココグルメ,冷凍,通販共通
61000039,バラエティ(チキン4+フィッシュ4+ジビエ4),ココグルメ,冷凍,通販共通
61000040,バラエティ(ポーク4+フィッシュ4+ジビエ4),ココグルメ,冷凍,通販共通
61000041,チキン1袋(サンプル・イベント出荷用),ココグルメ,冷凍,イベント用
61000042,ポーク1袋(サンプル・イベント出荷用),ココグルメ,冷凍,イベント用
61000043,フィッシュ1袋(サンプル・イベント出荷用),ココグルメ,冷凍,イベント用
61000044,ジビエ1袋(サンプル・イベント出荷用),ココグルメ,冷凍,イベント用
61000049,【お試し】モールお試しセット(チキン2),ココグルメ,冷凍,モール
61000050,【お試し】モールお試しセット(ポーク2),ココグルメ,冷凍,モール
61000051,【お試し】モールお試しセット(フィッシュ2),ココグルメ,冷凍,モール
