倉庫ID,業務区分ID,商品ID,month_code,合計出荷数
8,7,62000012,2411,368
8,7,62000012,2412,367
8,7,62000012,2501,317
8,7,62000012,2502,304
8,7,62000012,2503,335
8,7,62000012,2504,353
8,7,62000012,2505,406
8,7,62000012,2506,383
8,7,62000012,2507,460
8,7,62000012,2508,485
8,7,62000012,2509,210
8,7,62000013,2401,167
8,7,62000013,2402,196
8,7,62000013,2403,172
8,7,62000013,2404,203
8,7,62000013,2405,217
8,7,62000013,2406,203
8,7,62000013,2407,236
8,7,62000013,2408,243
8,7,62000013,2409,252
8,7,62000013,2410,269
8,7,62000013,2411,298
8,7,62000013,2412,322
8,7,62000013,2501,265
8,7,62000013,2502,259
8,7,62000013,2503,293
8,7,62000013,2504,316
8,7,62000013,2505,312
8,7,62000013,2506,311
8,7,62000013,2507,324
8,7,62000013,2508,392
8,7,62000013,2509,199
8,7,62000014,2401,80
8,7,62000014,2402,68
8,7,62000014,2403,77
8,7,62000014,2404,74
8,7,62000014,2405,59
8,7,62000014,2406,84
8,7,62000014,2407,76
8,7,62000014,2408,84
8,7,62000014,2409,82
8,7,62000014,2410,97
8,7,62000014,2411,98
8,7,62000014,2412,134
8,7,62000014,2501,97
8,7,62000014,2502,77
8,7,62000014,2503,107
8,7,62000014,2504,100
8,7,62000014,2505,120
8,7,62000014,2506,105
8,7,62000014,2507,110
8,7,62000014,2508,104
8,7,62000014,2509,65
8,7,62000015,2401,19
8,7,62000015,2402,13
8,7,62000015,2403,17
8,7,62000015,2404,19
8,7,62000015,2405,27
8,7,62000015,2406,19
8,7,62000015,2407,25
8,7,62000015,2408,29
8,7,62000015,2409,23
8,7,62000015,2410,37
8,7,62000015,2411,31
8,7,62000015,2412,22
8,7,62000015,2501,16
8,7,62000015,2502,23
8,7,62000015,2503,21
8,7,62000015,2504,20
8,7,62000015,2505,20
8,7,62000015,2506,28
8,7,62000015,2507,33
8,7,62000015,2508,22
8,7,62000015,2509,15
8,7,62000016,2401,20
8,7,62000016,2402,17
8,7,62000016,2403,25
8,7,62000016,2404,24
8,7,62000016,2405,36
8,7,62000016,2406,21
8,7,62000016,2407,28
8,7,62000016,2408,34
8,7,62000016,2409,24
8,7,62000016,2410,27
8,7,62000016,2411,24
8,7,62000016,2412,35
8,7,62000016,2501,21
8,7,62000016,2502,31
8,7,62000016,2503,33
8,7,62000016,2504,31
8,7,62000016,2505,43
8,7,62000016,2506,38
8,7,62000016,2507,43
8,7,62000016,2508,38
8,7,62000016,2509,24
8,7,62000017,2401,359
8,7,62000017,2402,358
8,7,62000017,2403,391
8,7,62000017,2404,386
8,7,62000017,2405,361
8,7,62000017,2406,309
8,7,62000017,2407,402
8,7,62000017,2408,435
8,7,62000017,2409,462
8,7,62000017,2410,459
8,7,62000017,2411,458
8,7,62000017,2412,533
8,7,62000017,2501,441
8,7,62000017,2502,408
8,7,62000017,2503,458
8,7,62000017,2504,482
8,7,62000017,2505,517
8,7,62000017,2506,505
8,7,62000017,2507,573
8,7,62000017,2508,615
8,7,62000017,2509,270
8,7,62000018,2401,27
8,7,62000018,2402,30
8,7,62000018,2403,34
8,7,62000018,2404,34
8,7,62000018,2405,41
8,7,62000018,2406,30
8,7,62000018,2407,49
8,7,62000018,2408,35
8,7,62000018,2409,43
8,7,62000018,2410,50
8,7,62000018,2411,39
